funding_time,funding_rate,mark_price
1704067200000,-0.00115565,311.33000000
1704096000000,-0.00043985,310.47544842
1704124800000,-0.00021335,312.24045914
1704153600000,-0.00004388,313.48485140
1704182400000,-0.00001968,317.24000000
1704211200000,0.00000000,308.22000000
1704240000000,-0.00040129,311.88000000
1704268800000,0.00000000,316.81252076
1704297600000,-0.00038446,316.85289871
1704326400000,-0.00036362,315.60000000
1704355200000,-0.00012600,318.23682433
1704384000000,-0.00019163,319.49000000
1704412800001,-0.00073744,323.04691698
1704441600000,-0.00058221,317.14000000
1704470400000,-0.00096824,313.44759894
1704499200000,-0.00118881,317.14000000
1704528000000,-0.00082243,303.57449363
1704556800000,-0.00088029,306.55000000
1704585600000,-0.00098640,307.20828170
1704614400001,-0.00098181,308.82000000
1704643200001,-0.00075307,305.18000000
1704672000000,-0.00087928,302.03000000
1704700800000,-0.00046829,298.55817996
1704729600000,-0.00044893,300.94000000
1704758400001,-0.00008596,303.84000000
1704787200000,0.00000000,304.50204453
1704816000000,0.00000000,301.27000000
1704844800000,0.00000000,301.34916774
1704873600000,0.00000000,299.91019235
1704902400000,0.00000000,294.87000000
1704931200000,0.00000000,305.80539622
1704960000000,0.00000000,307.65964125
1704988800000,0.00000000,307.57000000
1705017600001,0.00003989,308.50000000
1705046400000,0.00003803,308.88226515
1705075200000,0.00000654,305.72855083
1705104000000,0.00000000,296.81000000
1705132800000,0.00000000,299.38000000
1705161600001,0.00008384,302.42381237
1705190400000,0.00000000,302.35000000
1705219200000,0.00012056,304.46414090
1705248000001,0.00000000,305.46296751
1705276800000,0.00005667,299.67000000
1705305600000,0.00016931,315.21361263
1705334400000,0.00000000,313.96301985
1705363200000,-0.00033116,317.26441111
1705392000000,-0.00050321,316.02847267
1705420800001,-0.00036720,316.93000000
1705449600000,-0.00049143,315.04000000
1705478400000,-0.00002361,308.90000000
1705507200000,-0.00056100,311.92000000
1705536000001,-0.00048308,309.27974245
1705564800000,0.00000000,311.48753741
1705593600000,-0.00051549,314.85000000
1705622400000,-0.00045823,312.73000000
1705651200000,-0.00055553,311.35178939
