funding_time,funding_rate,mark_price
1704067200000,0.00037409,42313.90000000
1704096000000,0.00027213,42525.11019858
1704124800000,0.00033601,42811.29637234
1704153600000,0.00065846,44230.20000000
1704182400000,0.00035179,45494.65069858
1704211200000,0.00053730,45212.27632624
1704240000000,0.00021159,44975.18398936
1704268800000,0.00017123,45030.40000000
1704297600000,0.00010000,42995.80000000
1704326400000,0.00010000,42849.50000000
1704355200000,0.00010000,42774.30000000
1704384000000,0.00010000,44048.47574468
1704412800001,0.00010000,44147.00000000
1704441600000,0.00010000,43772.86349645
1704470400000,0.00010000,43495.10000000
1704499200000,0.00010000,44143.29000000
1704528000000,0.00010000,43651.65376950
1704556800000,0.00010000,43863.60000000
1704585600000,0.00010000,43968.00030496
1704614400001,0.00010000,44071.99074823
1704643200001,0.00010000,44037.12014539
1704672000000,0.00010000,43909.50000000
1704700800000,0.00010000,43970.00000000
1704729600000,0.00010000,44964.26529433
1704758400001,0.00010000,46972.60000000
1704787200000,0.00010000,46838.74650709
1704816000000,0.00010000,46872.40000000
1704844800000,0.00010000,46114.00000000
1704873600000,0.00010000,45766.40000000
1704902400000,0.00010000,45570.58561702
1704931200000,0.00010000,46657.58933688
1704960000000,0.00010000,46096.00527305
1704988800000,0.00010000,46789.70540426
1705017600001,0.00010000,46341.69723404
1705046400000,0.00010000,46008.31871986
1705075200000,0.00010000,44492.64061702
1705104000000,0.00010000,42789.00000000
1705132800000,0.00010000,43102.10000000
1705161600001,0.00010000,43159.76276596
1705190400000,0.00010000,42847.30638298
1705219200000,0.00010000,43011.58925532
1705248000001,0.00010000,42908.40000000
1705276800000,0.00010000,41739.60000000
1705305600000,0.00010000,42716.86510638
1705334400000,0.00010000,42278.82404255
1705363200000,0.00010000,42519.39276596
1705392000000,0.00010000,42785.20319149
1705420800001,0.00010000,43252.80000000
1705449600000,0.00010000,43140.21576950
1705478400000,0.00010000,42657.36403546
1705507200000,0.00010000,42480.14668590
1705536000001,0.00010000,42781.95793262
1705564800000,0.00010000,42915.94085106
1705593600000,0.00010000,42618.30000000
1705622400000,0.00010000,41312.34723404
1705651200000,0.00010000,41282.00000000
1705680000002,0.00010000,40897.10000000
1705708800000,0.00010000,41662.10000000
1705737600003,0.00010000,41650.68431818
1705766400000,0.00010000,41568.28595745
1705795200000,0.00010000,41693.91453546
1705824000000,0.00010000,41648.18463415
1705852800000,0.00010000,41652.70000000
1705881600000,0.00010000,41578.57680851
1705910400000,0.00010000,41041.20808511
1705939200000,0.00010000,40767.10361702
1705968000000,0.00010000,39566.15381552
1705996800000,0.00010000,39777.14965957
1706025600000,0.00010000,39204.77723404
1706054400000,0.00010000,39891.92865530
1706083200000,0.00010000,39973.35340426
1706112000000,0.00010000,40048.44006491
1706140800000,0.00010000,40078.80000000
1706169600001,0.00010000,40122.98766288
1706198400000,0.00010000,39799.30407092
1706227200001,0.00010000,39953.30000000
1706256000000,0.00010000,39957.97820833
1706284800000,0.00010000,41408.24000758
1706313600000,0.00008966,41806.40000000
1706342400000,0.00010000,41699.00000000
1706371200000,0.00008300,41797.40000000
1706400000000,0.00010000,42102.20000000
1706428800000,0.00004725,42370.00000000
1706457600000,0.00010000,42244.50000000
1706486400000,0.00010000,42021.30000000
1706515200001,0.00009142,42040.00000000
1706544000000,0.00010000,42626.51582979
1706572800000,0.00010000,43287.70000000
1706601600000,0.00009492,43346.60000000
1706630400001,0.00005149,43355.40000000
1706659200000,0.00002154,42925.49865957
1706688000000,0.00010000,43040.12039716
1706716800000,0.00010000,43348.20000000
1706745600000,0.00010000,42563.08635461
1706774400000,0.00010000,42182.20000000
1706803200002,0.00010000,42500.13148936
1706832000000,0.00010000,43072.60000000
1706860800000,0.00010000,43085.75394326
1706889600000,0.00010000,43224.06110638
1706918400000,0.00007627,43182.00000000
1706947200000,0.00009042,43037.00000000
1706976000001,0.00008028,43098.79023050
1707004800000,0.00008307,42993.33852128
1707033600004,0.00008846,42824.48293972
1707062400000,0.00010000,42926.70000000
1707091200000,0.00010000,42570.40000000
1707120000000,0.00010000,43059.00000000
1707148800000,0.00010000,42629.60000000
1707177600000,0.00010000,42693.59276950
1707206400001,0.00006723,42875.22371986
1707235200000,0.00010000,43232.25541135
1707264000000,0.00007527,43079.10000000
1707292800000,0.00005373,42904.80000000
1707321600000,0.00008306,43052.50000000
1707350400000,0.00010000,44326.22497872
1707379200000,0.00006535,44499.74975887
